transaction id,transaction_type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000178297,P2P,Grocery,681,SUCCESS,26-35,36-45,Karnataka,IndusInd,Yes Bank,iOS,WiFi,0,9,Friday,0
TXN0000150274,P2P,Grocery,552,SUCCESS,26-35,36-45,Andhra Pradesh,IndusInd,Yes Bank,Web,4G,0,18,Thursday,0
TXN0000023525,P2P,Other,690,SUCCESS,18-25,18-25,Andhra Pradesh,IndusInd,IndusInd,Android,5G,0,19,Thursday,0
TXN0000117570,Bill Payment,Entertainment,107,SUCCESS,36-45,18-25,Rajasthan,Axis,SBI,Android,4G,0,22,Saturday,1
TXN0000179403,P2M,Healthcare,153,SUCCESS,18-25,46-55,Tamil Nadu,HDFC,SBI,iOS,4G,0,20,Tuesday,0
TXN0000069640,P2M,Utilities,2758,SUCCESS,26-35,36-45,Tamil Nadu,PNB,PNB,Android,4G,0,14,Wednesday,0
TXN0000008434,Bill Payment,Grocery,1271,SUCCESS,26-35,18-25,Maharashtra,PNB,SBI,Web,4G,0,13,Tuesday,0
TXN0000081973,P2P,Food,908,SUCCESS,26-35,36-45,Gujarat,ICICI,Axis,iOS,5G,0,19,Saturday,1
TXN0000071570,P2M,Other,1291,SUCCESS,26-35,26-35,West Bengal,SBI,SBI,Android,3G,0,7,Thursday,0
TXN0000194408,P2M,Transport,58,SUCCESS,36-45,36-45,Karnataka,PNB,Kotak,Web,5G,0,9,Monday,0
TXN0000137654,P2P,Food,136,SUCCESS,36-45,26-35,Karnataka,Kotak,IndusInd,Android,4G,0,15,Thursday,0
TXN0000178413,P2M,Healthcare,344,SUCCESS,36-45,18-25,Karnataka,PNB,IndusInd,iOS,4G,0,21,Sunday,1
TXN0000135231,Bill Payment,Fuel,719,SUCCESS,46-55,36-45,Uttar Pradesh,HDFC,Kotak,Android,4G,0,20,Saturday,1
TXN0000230781,P2P,Fuel,906,FAILED,18-25,36-45,Maharashtra,Yes Bank,HDFC,iOS,4G,0,11,Thursday,0
TXN0000089354,P2P,Shopping,91,SUCCESS,36-45,36-45,West Bengal,SBI,Kotak,Android,5G,0,10,Sunday,1
TXN0000140933,Recharge,Transport,34,SUCCESS,56+,36-45,Karnataka,Yes Bank,Yes Bank,Android,3G,0,20,Tuesday,0
TXN0000079268,P2P,Fuel,602,SUCCESS,36-45,36-45,Rajasthan,Yes Bank,SBI,Android,4G,0,1,Wednesday,0
TXN0000230607,P2P,Utilities,590,SUCCESS,36-45,18-25,Rajasthan,PNB,ICICI,Android,5G,0,10,Wednesday,0
TXN0000136133,P2P,Grocery,1743,SUCCESS,36-45,36-45,Gujarat,PNB,SBI,Android,4G,0,15,Tuesday,0
TXN0000046152,P2P,Food,184,SUCCESS,46-55,36-45,Delhi,ICICI,ICICI,iOS,WiFi,0,19,Saturday,1
TXN0000033378,P2P,Shopping,354,SUCCESS,26-35,18-25,Karnataka,SBI,Axis,Android,4G,0,20,Sunday,1
TXN0000133960,P2P,Food,454,SUCCESS,26-35,26-35,Maharashtra,ICICI,Yes Bank,Android,4G,0,18,Friday,0
TXN0000188872,P2P,Entertainment,112,SUCCESS,26-35,36-45,West Bengal,HDFC,HDFC,iOS,4G,0,15,Sunday,1
TXN0000008998,P2M,Grocery,421,SUCCESS,26-35,26-35,Maharashtra,SBI,PNB,Android,4G,0,15,Friday,0
TXN0000010351,P2P,Grocery,1404,SUCCESS,18-25,18-25,Tamil Nadu,SBI,Yes Bank,Android,4G,0,17,Wednesday,0
TXN0000155395,P2M,Food,127,SUCCESS,18-25,18-25,Delhi,HDFC,Kotak,Android,4G,0,14,Tuesday,0
TXN0000186685,P2P,Utilities,3335,SUCCESS,26-35,26-35,Tamil Nadu,PNB,SBI,Android,WiFi,0,23,Thursday,0
TXN0000177584,P2M,Transport,949,SUCCESS,18-25,18-25,Maharashtra,SBI,HDFC,Android,5G,0,11,Saturday,1
TXN0000109165,Bill Payment,Grocery,2378,SUCCESS,26-35,26-35,Andhra Pradesh,Axis,ICICI,iOS,5G,0,16,Friday,0
TXN0000144099,P2M,Other,987,SUCCESS,18-25,18-25,Gujarat,SBI,PNB,Android,4G,0,20,Thursday,0
TXN0000152698,Bill Payment,Education,2958,SUCCESS,18-25,26-35,Rajasthan,Yes Bank,HDFC,Android,5G,0,11,Sunday,1
TXN0000045029,P2M,Shopping,3063,SUCCESS,26-35,26-35,Maharashtra,PNB,SBI,iOS,3G,0,0,Thursday,0
TXN0000239630,P2M,Food,290,SUCCESS,36-45,36-45,Tamil Nadu,SBI,Yes Bank,iOS,4G,0,11,Tuesday,0
TXN0000243460,P2P,Food,2139,FAILED,18-25,18-25,Tamil Nadu,PNB,ICICI,Android,4G,0,19,Thursday,0
TXN0000039064,P2M,Transport,1139,SUCCESS,26-35,18-25,Gujarat,ICICI,IndusInd,Android,4G,0,10,Friday,0
TXN0000187648,P2M,Other,430,SUCCESS,18-25,18-25,Telangana,HDFC,PNB,Android,3G,0,17,Saturday,1
TXN0000141689,P2M,Entertainment,317,SUCCESS,18-25,18-25,Delhi,Axis,PNB,Android,5G,0,13,Monday,0
TXN0000211969,P2P,Utilities,1787,SUCCESS,26-35,26-35,Telangana,PNB,Yes Bank,Android,5G,0,8,Friday,0
TXN0000173502,Bill Payment,Transport,373,SUCCESS,36-45,26-35,West Bengal,SBI,PNB,Android,5G,0,9,Friday,0
TXN0000080361,P2M,Food,1394,SUCCESS,36-45,36-45,Tamil Nadu,Axis,IndusInd,Android,5G,0,12,Monday,0
TXN0000142229,P2P,Shopping,138,SUCCESS,26-35,36-45,Andhra Pradesh,SBI,SBI,Android,5G,0,10,Wednesday,0
TXN0000114880,P2P,Grocery,544,SUCCESS,36-45,18-25,West Bengal,IndusInd,HDFC,Android,4G,0,18,Wednesday,0
TXN0000133630,P2P,Fuel,1206,SUCCESS,36-45,36-45,West Bengal,PNB,IndusInd,iOS,4G,0,10,Wednesday,0
TXN0000209927,P2P,Other,4616,SUCCESS,18-25,46-55,Tamil Nadu,Axis,SBI,Android,WiFi,0,23,Wednesday,0
TXN0000044639,Bill Payment,Food,2482,SUCCESS,18-25,26-35,Delhi,SBI,SBI,Android,4G,0,10,Tuesday,0
TXN0000124011,P2P,Shopping,86,SUCCESS,26-35,18-25,Maharashtra,SBI,Yes Bank,Android,4G,0,9,Sunday,1
TXN0000234474,P2M,Transport,85,FAILED,26-35,18-25,Maharashtra,ICICI,SBI,Android,3G,0,9,Thursday,0
TXN0000160401,Bill Payment,Fuel,950,SUCCESS,26-35,18-25,Karnataka,PNB,Axis,Android,4G,0,16,Thursday,0
TXN0000092911,P2M,Other,565,SUCCESS,18-25,36-45,Maharashtra,ICICI,Kotak,Android,4G,0,15,Friday,0
TXN0000206315,P2M,Shopping,1036,SUCCESS,18-25,36-45,Tamil Nadu,IndusInd,Yes Bank,iOS,4G,0,17,Monday,0
TXN0000141827,P2M,Shopping,786,SUCCESS,26-35,36-45,Rajasthan,PNB,Kotak,Android,4G,0,12,Saturday,1
TXN0000187634,P2P,Education,5989,SUCCESS,26-35,56+,Uttar Pradesh,Yes Bank,PNB,Android,WiFi,0,11,Saturday,1
TXN0000214942,P2M,Grocery,703,SUCCESS,18-25,18-25,Tamil Nadu,Yes Bank,Axis,iOS,4G,0,10,Friday,0
TXN0000105073,P2P,Grocery,101,SUCCESS,26-35,36-45,Karnataka,ICICI,HDFC,iOS,4G,0,17,Saturday,1
TXN0000022912,P2P,Grocery,3416,SUCCESS,36-45,36-45,Telangana,IndusInd,HDFC,Web,5G,0,12,Saturday,1
TXN0000011351,P2M,Food,516,SUCCESS,18-25,26-35,Telangana,SBI,SBI,iOS,5G,0,9,Tuesday,0
TXN0000147765,P2P,Other,943,SUCCESS,36-45,18-25,Delhi,ICICI,Yes Bank,iOS,4G,0,19,Wednesday,0
TXN0000217065,P2M,Entertainment,359,SUCCESS,18-25,46-55,Rajasthan,SBI,SBI,Android,4G,0,20,Tuesday,0
TXN0000161206,P2P,Shopping,642,SUCCESS,36-45,18-25,West Bengal,IndusInd,Axis,Android,5G,0,13,Saturday,1
TXN0000145362,P2P,Fuel,505,SUCCESS,18-25,36-45,Delhi,SBI,SBI,Android,4G,0,17,Tuesday,0
TXN0000244821,P2P,Transport,121,SUCCESS,26-35,46-55,Uttar Pradesh,PNB,HDFC,Android,5G,0,17,Friday,0
TXN0000160207,P2P,Entertainment,273,SUCCESS,36-45,46-55,Telangana,IndusInd,IndusInd,Android,5G,0,16,Sunday,1
TXN0000197393,P2M,Fuel,592,SUCCESS,46-55,18-25,West Bengal,IndusInd,PNB,Android,5G,0,17,Wednesday,0
TXN0000029438,P2M,Food,240,SUCCESS,26-35,26-35,Rajasthan,Kotak,SBI,Android,4G,0,21,Thursday,0
TXN0000248126,P2P,Food,193,SUCCESS,18-25,26-35,Telangana,HDFC,SBI,Android,4G,0,6,Saturday,1
TXN0000104434,Recharge,Fuel,386,SUCCESS,36-45,36-45,Delhi,Yes Bank,IndusInd,Web,5G,0,21,Tuesday,0
TXN0000137104,P2P,Shopping,643,SUCCESS,26-35,36-45,Delhi,Axis,Axis,Android,4G,0,10,Sunday,1
TXN0000117846,Bill Payment,Grocery,1229,SUCCESS,36-45,46-55,Gujarat,SBI,Axis,Android,WiFi,0,17,Monday,0
TXN0000096665,P2P,Grocery,3166,FAILED,18-25,26-35,West Bengal,IndusInd,Axis,Android,4G,0,12,Saturday,1
TXN0000110254,P2P,Other,550,SUCCESS,26-35,56+,Tamil Nadu,SBI,Kotak,Android,3G,0,19,Tuesday,0
TXN0000022338,P2P,Utilities,1281,SUCCESS,26-35,18-25,West Bengal,PNB,ICICI,Android,5G,0,18,Sunday,1
TXN0000206392,Bill Payment,Utilities,468,SUCCESS,36-45,46-55,Telangana,HDFC,Kotak,Android,4G,0,14,Friday,0
TXN0000014383,P2P,Shopping,2173,SUCCESS,46-55,46-55,Rajasthan,SBI,SBI,Android,4G,0,18,Thursday,0
TXN0000089746,P2P,Education,5107,SUCCESS,18-25,26-35,Rajasthan,Kotak,IndusInd,Android,3G,0,6,Friday,0
TXN0000118875,Recharge,Other,416,SUCCESS,26-35,18-25,Rajasthan,ICICI,SBI,Android,4G,0,5,Monday,0
TXN0000005705,P2M,Utilities,728,SUCCESS,18-25,36-45,Karnataka,HDFC,SBI,Android,4G,0,11,Wednesday,0
TXN0000176299,P2P,Entertainment,152,SUCCESS,18-25,36-45,Gujarat,Kotak,PNB,iOS,5G,0,11,Saturday,1
TXN0000025364,P2P,Transport,1500,SUCCESS,46-55,26-35,Maharashtra,SBI,SBI,iOS,5G,0,14,Tuesday,0
TXN0000018200,Bill Payment,Utilities,2650,SUCCESS,26-35,18-25,Telangana,ICICI,Kotak,Android,4G,0,10,Monday,0
TXN0000005669,P2M,Utilities,1324,SUCCESS,18-25,18-25,Rajasthan,SBI,PNB,Android,5G,0,17,Saturday,1
TXN0000148844,P2M,Shopping,611,SUCCESS,18-25,18-25,Karnataka,SBI,SBI,Android,4G,0,21,Wednesday,0
TXN0000041199,P2M,Utilities,3616,SUCCESS,18-25,18-25,West Bengal,SBI,HDFC,Android,4G,0,16,Wednesday,0
TXN0000044517,P2P,Utilities,288,SUCCESS,36-45,26-35,Gujarat,Yes Bank,HDFC,Android,4G,0,14,Thursday,0
TXN0000011875,P2M,Food,725,SUCCESS,36-45,26-35,Maharashtra,IndusInd,Axis,Android,WiFi,0,13,Sunday,1
TXN0000212317,Bill Payment,Food,366,SUCCESS,36-45,36-45,Maharashtra,PNB,Yes Bank,Android,3G,0,0,Saturday,1
TXN0000117408,P2P,Fuel,3309,SUCCESS,26-35,18-25,Maharashtra,IndusInd,SBI,Android,4G,0,17,Sunday,1
TXN0000059501,P2M,Other,1186,SUCCESS,18-25,36-45,Gujarat,ICICI,ICICI,Android,4G,0,20,Thursday,0
TXN0000106885,P2P,Food,968,SUCCESS,56+,46-55,Karnataka,SBI,HDFC,iOS,WiFi,0,22,Tuesday,0
TXN0000213968,P2P,Shopping,2210,FAILED,18-25,36-45,Andhra Pradesh,SBI,Axis,Android,4G,0,9,Sunday,1
TXN0000002638,P2P,Grocery,666,SUCCESS,26-35,36-45,Gujarat,IndusInd,HDFC,Android,4G,0,23,Monday,0
TXN0000065451,Recharge,Grocery,4632,SUCCESS,46-55,36-45,Delhi,HDFC,SBI,Android,4G,0,14,Tuesday,0
TXN0000138747,P2P,Grocery,192,SUCCESS,46-55,26-35,Delhi,IndusInd,PNB,Android,4G,0,23,Thursday,0
TXN0000196675,Recharge,Transport,1634,SUCCESS,26-35,36-45,Uttar Pradesh,PNB,Axis,Web,WiFi,0,21,Friday,0
TXN0000033314,P2P,Shopping,428,SUCCESS,18-25,56+,Gujarat,Yes Bank,HDFC,Android,4G,0,19,Tuesday,0
TXN0000000282,Bill Payment,Food,260,SUCCESS,18-25,26-35,Maharashtra,Axis,PNB,Android,4G,0,23,Friday,0
TXN0000040373,P2P,Utilities,1751,SUCCESS,26-35,26-35,Telangana,PNB,SBI,Android,3G,0,21,Wednesday,0
TXN0000095966,Recharge,Entertainment,284,SUCCESS,18-25,26-35,West Bengal,IndusInd,Yes Bank,Android,WiFi,0,22,Thursday,0
TXN0000178413,P2M,Healthcare,344,SUCCESS,36-45,18-25,Karnataka,PNB,IndusInd,iOS,4G,0,21,Sunday,1
TXN0000217193,Bill Payment,Transport,315,SUCCESS,56+,56+,Uttar Pradesh,IndusInd,SBI,iOS,WiFi,0,16,Saturday,1
TXN0000048771,Bill Payment,Food,654,SUCCESS,36-45,56+,Telangana,PNB,HDFC,Android,5G,0,11,Monday,0
TXN0000148473,P2P,Grocery,587,SUCCESS,18-25,36-45,Maharashtra,Axis,Yes Bank,Android,4G,0,15,Wednesday,0
TXN0000051963,P2P,Food,1246,SUCCESS,18-25,36-45,West Bengal,ICICI,SBI,Android,5G,0,11,Tuesday,0
TXN0000018376,P2P,Grocery,1289,SUCCESS,18-25,26-35,Telangana,Axis,HDFC,Android,5G,0,12,Wednesday,0
TXN0000069094,P2P,Grocery,750,SUCCESS,26-35,26-35,Telangana,PNB,Axis,Android,5G,0,20,Saturday,1
TXN0000135900,P2M,Food,939,SUCCESS,36-45,36-45,Tamil Nadu,HDFC,ICICI,Android,4G,0,14,Friday,0
TXN0000243686,P2P,Transport,85,SUCCESS,26-35,26-35,Maharashtra,IndusInd,Yes Bank,Android,4G,0,6,Wednesday,0
TXN0000066984,P2M,Shopping,1844,SUCCESS,36-45,18-25,Karnataka,Axis,PNB,iOS,5G,0,12,Thursday,0
TXN0000051708,P2P,Utilities,1438,SUCCESS,36-45,36-45,Karnataka,HDFC,HDFC,iOS,4G,0,12,Wednesday,0
TXN0000135655,P2P,Grocery,264,SUCCESS,36-45,18-25,Karnataka,Yes Bank,HDFC,iOS,WiFi,0,18,Wednesday,0
TXN0000091129,P2M,Shopping,791,SUCCESS,56+,36-45,Telangana,Yes Bank,SBI,Android,5G,0,12,Saturday,1
TXN0000116945,P2P,Entertainment,326,FAILED,36-45,26-35,Tamil Nadu,Yes Bank,IndusInd,iOS,4G,0,11,Saturday,1
TXN0000030107,P2P,Healthcare,325,SUCCESS,36-45,26-35,Uttar Pradesh,Kotak,Kotak,Android,4G,0,3,Thursday,0
TXN0000246039,Recharge,Fuel,757,SUCCESS,26-35,56+,Andhra Pradesh,IndusInd,HDFC,iOS,4G,0,12,Wednesday,0
TXN0000192513,P2P,Healthcare,175,SUCCESS,18-25,18-25,Telangana,Axis,HDFC,Android,4G,0,14,Sunday,1
TXN0000054221,P2P,Grocery,2015,SUCCESS,18-25,46-55,Rajasthan,SBI,PNB,Android,4G,0,0,Friday,0
TXN0000023290,P2P,Shopping,310,SUCCESS,36-45,36-45,Andhra Pradesh,HDFC,ICICI,iOS,4G,0,13,Monday,0
TXN0000110018,P2P,Grocery,1500,SUCCESS,56+,26-35,West Bengal,PNB,SBI,Android,3G,0,17,Monday,0
TXN0000047235,P2P,Grocery,377,SUCCESS,56+,56+,Telangana,Kotak,HDFC,Android,5G,0,14,Tuesday,0
TXN0000124715,P2P,Other,1515,SUCCESS,36-45,36-45,Karnataka,SBI,PNB,Android,WiFi,0,10,Saturday,1
TXN0000227483,P2P,Shopping,5422,SUCCESS,36-45,26-35,Uttar Pradesh,SBI,SBI,Android,5G,0,12,Monday,0
TXN0000130350,P2P,Entertainment,282,SUCCESS,26-35,26-35,Rajasthan,Yes Bank,SBI,Android,4G,0,9,Saturday,1
TXN0000113689,Bill Payment,Other,1178,SUCCESS,36-45,26-35,West Bengal,IndusInd,SBI,Android,4G,0,16,Tuesday,0
TXN0000004854,P2P,Entertainment,308,SUCCESS,18-25,26-35,Delhi,ICICI,ICICI,iOS,4G,0,9,Wednesday,0
TXN0000225163,P2P,Other,1473,SUCCESS,18-25,18-25,Gujarat,HDFC,Yes Bank,Android,5G,0,22,Monday,0
TXN0000076324,P2M,Utilities,2438,SUCCESS,26-35,36-45,Uttar Pradesh,Yes Bank,PNB,Android,4G,0,8,Thursday,0
TXN0000104556,P2M,Food,145,SUCCESS,36-45,18-25,Delhi,SBI,HDFC,Android,4G,0,17,Wednesday,0
TXN0000047948,P2P,Grocery,462,SUCCESS,26-35,46-55,West Bengal,HDFC,Axis,Android,4G,0,23,Wednesday,0
TXN0000216897,Bill Payment,Transport,136,SUCCESS,36-45,36-45,Delhi,PNB,IndusInd,Android,4G,0,17,Monday,0
TXN0000159025,P2M,Utilities,5422,SUCCESS,36-45,36-45,Maharashtra,HDFC,PNB,Android,4G,0,9,Friday,0
TXN0000062540,P2M,Education,6326,FAILED,46-55,36-45,Uttar Pradesh,SBI,SBI,Android,4G,0,13,Saturday,1
TXN0000069450,P2P,Healthcare,293,SUCCESS,26-35,26-35,Tamil Nadu,SBI,SBI,Android,4G,0,23,Thursday,0
TXN0000189575,Recharge,Fuel,723,SUCCESS,26-35,36-45,Gujarat,Axis,SBI,Android,4G,0,8,Thursday,0
TXN0000209478,P2M,Shopping,12818,SUCCESS,18-25,18-25,Maharashtra,PNB,SBI,Android,5G,0,19,Saturday,1
TXN0000091268,P2P,Grocery,2579,SUCCESS,26-35,18-25,Maharashtra,SBI,Axis,iOS,4G,0,7,Saturday,1
TXN0000083385,P2M,Shopping,1113,SUCCESS,18-25,26-35,Delhi,SBI,Kotak,Android,5G,0,10,Friday,0
TXN0000165583,P2P,Utilities,2955,SUCCESS,18-25,26-35,Uttar Pradesh,HDFC,SBI,Android,4G,0,20,Monday,0
TXN0000135900,P2M,Food,939,SUCCESS,36-45,36-45,Tamil Nadu,HDFC,ICICI,Android,4G,0,14,Friday,0
TXN0000043470,Bill Payment,Entertainment,186,SUCCESS,26-35,26-35,Gujarat,HDFC,Kotak,Android,5G,0,21,Thursday,0
TXN0000164913,P2M,Food,2019,SUCCESS,18-25,26-35,Gujarat,IndusInd,PNB,Android,3G,0,20,Friday,0
